# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
Swedish	шведский
Switzerland	Швейцария
Syria ; Syrian Arab Republic	Сирия
Tagalog	тагальский
Taiwan	Тайвань
Tajik	таджикский
Tajikistan	Таджикистан
Tamil ; Tamil	тамильский
Tanzania	Танзания
Tatar ; Tatar	tатарский ; татарский
Taurus	Телец
Tehran	Тегеран
Telugu ; Telugu	телугу
Tennessee	Теннесси
Thai ; Thai	тайский
Thailand	Таиланд
The Hague	Гаага
Thuringia	Тюрингия
Thursday	четверг
Togo	Того
Tokyo	Токио
Tonga	Тонга
Toronto	Торонто
Tswana	тсвана
Tuesday	вторник
Tunisia	Тунис
Turkey	Турция
Turkish ; Turkish	турецкий
Turkmenistan	Туркменистан
UN ; United Nations	Организация Объединенных Наций
Uganda ; Republic of Uganda	Уганда
Ukraine	Украина
Ukrainian ; Ukrainian	украинский
United Arab Emirates	Объединённые Арабские Эмираты
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Великобритания ; Соединённое Королевство Великобритании и Северной Ирландии
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Соединённые Штаты Америки ; США
Uranus	Уран
Urdu ; Urdu	урду
Utah	Юта
Vaduz	Вадуц
Vatican City ; The Holy See ; State of the Vatican City	Государство-город Ватикан
Venezuela	Венесуэла
Venice	Венеция
Venus	Венера
Vienna	Вена
Vietnamese ; Vietnamese	вьетнамский
Volapük	волапюк
Volga	Волга
Wales	Уэльс
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Острова Уоллис и Футуна
Walloon ; Walloon	валлонский
Washington	Вашингтон
Wednesday ; quarta-feira	среда
Welsh ; Welsh	валлийский
Western Asia ; Southwest Asia	Западная Азия
Western Europe	Западная Европа
Wikipedia	Википедия
Wiktionary	Викисловарь
World Wide Web ; WWW	Всемирная сеть
Wyoming	Вайоминг
Xhosa	коса
Yemen ; Republic of Yemen	Йемен
Yiddish	идиш
Yugoslavia	Югославия
Zambia ; Republic of Zambia	Замбия
Zanzibar	Занзибар
Zimbabwe ; Republic of Zimbabwe	Зимбабве
Zulu	зулу ; зулусский
aAmplitude ; amplitude	aмплитуда
aback	ошеломлённый
abacus	абак
abandoned industrial site	заброшенная промышленная площадка
abandoned vehicle ; car wreck	брошенный автомобиль
abbreviation	сокрaщение
abiotic environment	абиотическая среда
abiotic factor	абиотический фактор
abolitionist	аболиционист
abortive	неудачный
abrasive	абразивный
abridge	сокращать
abscess	абсцесс
absorption	абсорбция
acceleration	ускорение
acceptable daily intake	допустимая суточная норма потребления
acceptable risk level	приемлемый уровень риска
access road	подъездные дороги
access to administrative documents	доступ к административным документам
access to culture	доступ к культурным ценностям
access to information	доступ к информации
access to the courts	доступ к судебным органам
accident	авария
accident source ; cause of the accident	причина аварии
accidental release of organisms	выброс биоматериала в результате аварий
accordion ; squeeze box ; piano accordion	гармоника ; гармонь
accounting	бухгалтерский учет
accounting system	система бухучета
accumulator	аккумуляторная батарея
acid	кислота
acid deposition	кислотные осадки
acid rain	кислотный дождь
acidification	подкисление
acidity	кислотность
acidity degree	уровень кислотности
acne	угреватость
acoustic comfort	акустический комфорт
acoustic filter ; audio filter	акустический фильтр
acoustic insulation	звукоизоляция
acoustic level ; sound pressure level	уровень звука
acoustic property	акустические свойства
acoustical quality	акустическое свойство
acoustics	акустика
acquisition	приобретение
acrid	едкий
act ; deed	акт
actinide	актиниды
actinium	актиний
action group ; action committee	группа активистов
activated carbon	активированный уголь
activated sludge	активный ил
active participation	активное участие
active population	экономически активное население
activist	активист
adaptation period	период адаптации
add	прибавить
addition	сложение
additional packaging	дополнительная упаковка
additive	добавки
adequate food supply	достаточное обеспечение продуктами питания
adhesive	адгезивные вещества
adieu ; bye ; cheerio ; farewell ; good day ; goodbye	пока
adjective ; describing word	имя прилагательное
adjust	приспособить
administration ; direction ; management	администрация ; управление
administrative body ; administrative organ	административный орган
administrative boundary	административная граница
administrative competence ; administrative ability	компетентность административного персонала
administrative deed	действие администрации
administrative fiat	административный приказ
administrative instructions	административная подготовка
administrative law	административное право
administrative occupation	административная должность
administrative organisation	административная организация
administrative procedure	административная процедура
administrative sanction	административная санкция
adoption	усыновление
adsorption	адсорбция
adult	взрослый человек
adult education	обучение взрослого населения
adventure	приключение
adverb	наречие
advertisement ; promotion	реклама
advice	консультация ; совет, консультация ; совет
aeration	аэрация
aerial	антенна
aerial photograph	аэрофотоснимок
aerial photography	аэрофотосъемка
aerobic process	аэробный процесс
aerobic treatment	аэробная обработка
aerobiology	аэробиология
aerodynamic noise	аэродинамический шум
aeroplane ; bird ; plane	аэроплан ; самолёт
aerosol	аэрозоль
aesthetics	эстетика
afforestation ; tree planting ; afforestment	облесение
afterburning ; afterburning ; afterburner	дожигание
age	возраст
aggressive	нападающий
aggressor ; assailant ; attacker ; assaulter	противник
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	aгорафобия ; aгорафобия
agreement	соглашение
agri-foodstuff	производство продуктов питания в сельском хозяйстве
agricultural biotechnology	сельскохозяйственная биотехнология
agricultural building	сельскохозяйственное строение
agricultural disaster	бедствие, наносящее вред сельскому хозяйству
agricultural ecology ; agroecology	экология сельского хозяйства
agricultural economics	экономика сельского хозяйства
agricultural effluent	сельскохозяйственные стоки
agricultural engineering	агротехника
agricultural equipment	сельскохозяйственное оборудование
agricultural equipment ; agricultural machinery ; farm machinery	сельскохозяйственное оборудование ; сельскохозяйственные машины
agricultural exploitation	сельскохозяйственная эксплуатация
agricultural hydraulics	мелиорация
agricultural land	сельскохозяйственные угодья
agricultural landscape	сельскохозяйственный ландшафт
agricultural legislation	сельскохозяйственное право
agricultural management	управление в сельском хозяйстве
agricultural method	агротехнические методы
agricultural pest	сельскохозяйственные вредители
agricultural planning	планирование сельского хозяйства
agricultural policy	сельскохозяйственная политика
agricultural pollution	сельскохозяйственное загрязнение
agricultural product	сельскохозяйственная продукция
agricultural production ; farm production ; agricultural output	сельскохозяйственное производство
agricultural real estate	объект недвижимости в сельском хозяйстве
agricultural storage	хранение сельскохозяйственной продукции
agricultural structure	основные фонды сельского хозяйства
agricultural undervaluation	занижение цен на сельскохозяйственную продукцию
agricultural waste	отходы сельского хозяйства
agriculture	сельское хозяйство
agriculture ; agriculture	сельское хозяйство ; сельское хозяйство
agriculture and cattle industry	сельское хозяйство и животноводство
agriculture framework plan	перспективный сельскохозяйственный план
agritourism	загородный туризм
agrochemical	агрохимикат
agroforestry	агролесоводство
agroindustry	агроиндустрия
agrometeorology	агрометеорология
agronomic value	цена на сельхозпродукцию
agronomy	агрономия
agrosystem	агросистема
aid policy	политика в области экономической помощи
air	воздух
air conditioning ; AC ; air-conditioning	кондиционирование воздуха
air movement	движение воздуха
air pollutant	вещество, загрязняющее воздух
air pollution	загрязнение воздуха
air quality	качество воздуха
air quality control	контроль за качеством воздуха
air quality management	управление качеством воздуха
air quality monitoring	мониторинг качества воздуха
air sac ; alveolus	альвеола
air safety	воздушная безопасность
air temperature	температура воздуха
air traffic	движение воздушного транспорта
air traffic law	законы в области воздушного транспорта
air transportation	воздушные перевозки
air-water interaction	взаимодействие "воздух-вода"
airborne noise	шум от находящихся в воздухе источников
aircraft	летательный аппарат
aircraft noise	шум, производимый летательными аппаратами
airmail	авиапочта
airport	аэропорт
airspace planning	аэрокосмическое планирование
alarm ; alert ; warning	тревога
alarm clock	будильник
albinism	aльбинизм
alchemist	алхимик
alchemy	алхимия
alcohol	алкоголь
alcoholism	алкоголизм
alga	водоросль
algal bloom	рост водорослей
algebra	алгебра
algicide ; algaecide	алгицид
algorithm	алгоритм
alibi	алиби
alicyclic compound	алициклическое соединение
alicyclic hydrocarbon	алициклический углеводород
alignment	упорядочение
aliphatic compound	алифатическое соединение
aliphatic hydrocarbon	алифатический углеводород
alkali soil	щелочная почва
alkaline ; element of group I ; alkaline metal ; alkali metal	химический элемент группы I
alkaline battery	щелочной элемент питания
alkane ; paraffin ; methane series ; alkane series	алкан
alkyl compound	алкильное соединение
all-terrain vehicle	внедорожник
allegory	аллегория
allergen	аллерген
allergy	аллергия
allocation ; allotment ; resource allotment	распределение
allocation plan	планирование распределения материально-сырьевых ресурсов
allotropy	аллотропия
allowance	денежная помощь
alloy	сплав
alluvial plain	аллювиальная равнина
alluvion ; flood ; overflowing ; inundation	наводнение
almanac	альманах
almost	почти
alpha radiation	альфа-излучение
alphabet	алфавит
alternative material	альтернативный материал
alternative technology	альтернативная технология
altitude	высота ; высота (геогр.)
alumina	глинозем
aluminium	алюминий
