0 (number)	0 (число)
American Samoa	Американское Самоа
American Standard Code for Information Interchange	ASCII
American football	Американский футбол
American football	Категория:Американский футбол
Americium	Америций
Amerigo Vespucci	Веспуччи, Америго
Amethyst	Аметист
Amharic	Амхарский язык
Amide	Амиды
Amine	Амины
Amino acid	Аминокислоты
Amish	Амиши
Amman	Амман
Ammeter	Амперметр
Ammonia	Аммиак
Amnesia	Амнезия
Amnesty	Амнистия
Ampere	Ампер
Amphetamine	Амфетамин
Amphibian	Земноводные
Amphitheatre	Амфитеатр
Amphora	Амфора
Amplitude	Амплитуда
Amsterdam	Амстердам
Amsterdam	Категория:Амстердам
Amun	Амон
Amur	Амур (река)
Anabaptist	Анабаптисты
Anagram	Анаграмма
Anaheim	Анахайм (Калифорния)
Anal sex	Анальный секс
Analytic geometry	Аналитическая геометрия
Anarchism	Анархизм
Anarchism	Категория:Анархизм
Anatidae	Утиные
Anatole France	Франс, Анатоль
Anatomy	Категория:Анатомия
Anatomy	Анатомия
Anaxagoras	Анаксагор из Клазомен
Anaximander	Анаксимандр
Anchor	Якорь
Anchorage	Анкоридж
Ancient Greek	Древнегреческий язык
Ancient history	Категория:Древний мир
Andalusia	Андалусия
Andaman Sea	Андаманское море
Anders Celsius	Цельсий, Андерс
Andes	Анды
Andhra Pradesh	Андхра-Прадеш
Andorra	Андорра
Andorra	Категория:Андорра
Andrea Palladio	Палладио, Андреа
Andrei Sakharov	Сахаров, Андрей Дмитриевич
Andrei Tarkovsky	Тарковский, Андрей Арсеньевич
Andrew Jackson	Джексон, Эндрю
Andrew Johnson	Джонсон, Эндрю
Andrew Lloyd Webber	Ллойд Уэббер, Эндрю
Android	Андроид
Andromeda	Андромеда
Andromeda (constellation)	Андромеда (созвездие)
Andromeda (mythology)	Андромеда (мифология)
Andromeda Galaxy	Галактика Андромеды
Andy Warhol	Уорхол, Энди
Anemia	Анемия
Anemometer	Анемометр
Anesthesia	Анестезия
Angara River	Ангара
Angel	Ангел
Angel Falls	Анхель
Angle	Угол
Angola	Ангола
Angola	Категория:Ангола
Anguilla	Ангилья
Angular momentum	Момент импульса
Angular velocity	Угловая скорость
Anicius Manlius Severinus Boethius	Аниций Манлий Торкват Северин Боэций
Aniline	Анилин
Animal	Животные
Animal husbandry	Животноводство
Animation	Мультипликация
Anime	Аниме
Anime	Категория:Аниме
Animism	Анимизм
Anise	Анис
Ankara	Анкара
Annapolis	Аннаполис (Мэриленд)
Annapurna	Аннапурна
Anne Boleyn	Болейн, Анна
Annelid	Кольчатые черви
Anno Domini	От Рождества Христова
Annunciation	Благовещение Пресвятой Богородицы
Anode	Анод
Anseriformes	Гусеобразные
Ant	Муравьи
Antakya	Антакья
Antalya	Анталья
Antananarivo	Антананариву
Antarctica	Антарктида
Antarctica	Категория:Антарктида
Antares	Антарес
Antenna (radio)	Антенна
Anthony Hopkins	Хопкинс, Филип Энтони
Anthrax	Сибирская язва
Anthropology	Антропология
Anthropology	Категория:Антропология
Anthroposophy	Антропософия
Antibiotic	Антибиотики
Antibody	Антитело
Antichrist	Антихрист
Anticyclone	Антициклон
Antigen	Антиген
Antigone	Антигона
Antigua and Barbuda	Антигуа и Барбуда
Antimatter	Антивещество
Antimony	Сурьма
Antioxidant	Антиоксиданты
Antipope	Антипапа
Antisemitism	Антисемитизм
Antisemitism	Категория:Антисемитизм
Antlia	Насос (созвездие)
Antofagasta	Антофагаста (город)
Antoine Lavoisier	Лавуазье, Антуан Лоран
Anton Bruckner	Брукнер, Антон
Anton Chekhov	Чехов, Антон Павлович
Antonio Stradivari	Страдивари, Антонио
